State,Victims (unique count) Age <1 ,Victims (unique count) Age 1,Victims (unique count) Age 2,Victims (unique count) Age 3,Victims (unique count) Age 4,Victims (unique count) Age 5,Victims (unique count) Age 6,Victims (unique count) Age 7,Victims (unique count) Age 8,Victims (unique count) Age 9,Victims (unique count) Age 10,Victims (unique count) Age 11,Victims (unique count) Age 12,Victims (unique count) Age 13,Victims (unique count) Age 14,Victims (unique count) Age 15,Victims (unique count) Age 16,Victims (unique count) Age 17,"Victims (unique count) Age Unborn, Unknown, and 18-21 ", Victims (unique count) Total  ,"Victims Age <1  
Rate per 1,000 Children","Victims Age 1 
Rate per 1,000 Children","Victims Age 2 
Rate per 1,000 Children","Victims Age 3 
Rate per 1,000 Children","Victims Age 4 
Rate per 1,000 Children","Victims Age 5 
Rate per 1,000 Children","Victims Age 6 
Rate per 1,000 Children","Victims Age 7 
Rate per 1,000 Children","Victims Age 8 
Rate per 1,000 Children","Victims Age 9 
Rate per 1,000 Children","Victims Age 10
Rate per 1,000 Children","Victims Age 11
Rate per 1,000 Children","Victims Age 12
Rate per 1,000 Children","Victims Age 13
Rate per 1,000 Children","Victims Age 14
Rate per 1,000 Children","Victims Age 15
Rate per 1,000 Children","Victims Age 16
Rate per 1,000 Children","Victims Age 17
Rate per 1,000 Children"
Georgia,"1,921",727,677,617,626,648,612,601,562,518,515,431,388,394,387,367,319,163,14,"10,487",14.8,5.5,5.1,4.6,4.7,4.8,4.5,4.4,4.1,3.6,3.5,3,2.7,2.7,2.7,2.6,2.2,1.1
Hawaii,250,68,74,77,86,70,64,66,60,57,56,54,51,48,54,51,49,36,9,"1,280",13.9,3.8,4.2,4.3,4.7,3.9,3.6,3.9,3.6,3.3,3.3,3.3,3.1,2.9,3.3,3.3,3.1,2.3
Idaho,421,128,105,109,91,99,101,93,72,90,78,72,80,55,70,65,66,36,1,"1,832",18.4,5.5,4.4,4.7,3.8,4.2,4.2,3.8,2.9,3.5,3,2.8,3.1,2.1,2.8,2.6,2.6,1.4
Illinois,"3,900","2,285","2,070","1,986","1,823","1,771","1,661","1,649","1,541","1,552","1,382","1,272","1,181","1,108","1,064","1,020",862,593,31,"28,751",25.4,14.7,13.2,12.9,11.9,11.4,10.6,10.4,9.8,9.5,8.4,7.7,7.2,6.6,6.4,6.2,5.1,3.4
Indiana,"5,092","2,072","1,965","1,825","1,672","1,689","1,510","1,548","1,543","1,531","1,328","1,209","1,143","1,193","1,105","1,140",961,618,54,"29,198",61.7,24.8,23.1,21.6,19.6,19.9,17.7,18,17.9,17.2,14.8,13.5,12.9,13.3,12.4,12.9,10.5,6.6
Iowa,"1,539",809,768,739,682,635,635,597,593,576,528,483,431,421,369,333,287,206,12,"10,643",39.5,20.5,19.1,18.4,17.1,16,16.2,14.6,14.5,13.7,12.5,11.6,10.5,10.3,9.1,8.2,7,4.9
Kansas,238,268,292,264,265,247,240,247,226,243,232,226,196,212,224,217,164,143,9,"4,153",6.3,7,7.6,6.8,6.8,6.3,6,6.1,5.7,6,5.7,5.6,4.9,5.3,5.6,5.6,4.1,3.5
Kentucky,"3,090","1,621","1,614","1,459","1,380","1,368","1,295","1,256","1,293","1,202","1,132",949,959,891,845,777,694,518,67,"22,410",56.6,29.3,29,26.2,24.9,24.8,23.6,22.9,23.3,21.2,19.7,16.7,16.9,15.6,15,13.9,12.1,8.8
Louisiana,"2,461",667,666,588,569,514,533,508,491,535,421,411,370,394,387,385,305,140,11,"10,356",39.4,10.6,10.6,9.4,9.3,8.5,8.8,8.4,8,8.5,6.6,6.7,6.1,6.5,6.5,6.4,5,2.2
Maine,449,236,253,232,252,241,203,233,201,190,192,167,136,135,124,112,78,35,6,"3,475",36,18.5,19.4,17.8,19.1,18.2,15.3,16.9,14.5,13.3,13.2,11.4,9.2,9.1,8.4,7.6,5,2.2
Maryland,586,452,442,411,498,463,467,438,449,404,436,371,377,336,412,373,378,265,20,"7,578",8.1,6.2,6,5.6,6.8,6.3,6.2,5.9,6.1,5.3,5.7,4.9,5,4.5,5.5,5,4.9,3.4
Massachusetts,"3,242","1,599","1,525","1,478","1,490","1,461","1,463","1,510","1,365","1,343","1,339","1,158","1,105","1,119","1,115","1,089",934,726,31,"25,092",45.3,22.3,21,20.4,20.5,20,19.7,20.5,18.6,17.7,17.5,15.1,14.3,14.1,13.9,13.5,11.3,8.5
Michigan,"8,185","2,541","2,341","2,356","2,099","2,151","1,999","1,941","1,911","1,722","1,630","1,487","1,469","1,474","1,397","1,356","1,166",743,96,"38,064",73.3,22.3,20.2,20.2,18.2,18.6,17.2,16.5,16.3,14.3,13.3,12.1,11.8,11.7,11.1,10.7,8.8,5.5
Minnesota,"1,306",584,585,559,533,502,489,507,487,470,440,399,358,363,347,292,290,179,19,"8,709",18.8,8.3,8.2,7.8,7.5,7,6.9,7,6.8,6.4,5.9,5.4,4.9,4.9,4.8,4.1,4,2.5
Mississippi,"1,416",526,537,541,556,561,609,623,586,580,585,492,507,522,505,514,461,278,30,"10,429",38.4,14.1,14.2,14.3,14.8,14.7,15.9,16,14.5,13.8,13.6,11.9,12.5,13,12.7,13,11.1,6.6
Missouri,346,307,285,283,258,276,234,298,245,285,226,227,238,258,267,223,224,105,-,"4,585",4.7,4.1,3.8,3.7,3.4,3.7,3.1,3.9,3.2,3.6,2.9,2.9,3.1,3.3,3.4,2.9,2.8,1.3
Montana,477,282,267,254,197,199,190,190,194,199,197,169,149,137,147,115,88,60,23,"3,534",38,22.2,20.9,20,15.7,15.8,15.3,15.1,15.2,15.1,14.8,13,11.7,10.8,11.8,9.2,6.9,4.8
Nebraska,440,240,243,213,201,193,185,195,179,167,160,136,135,117,122,131,98,67,24,"3,246",16.7,9.1,9,7.9,7.6,7.4,7,7.4,6.7,6.2,6,5.1,5.1,4.4,4.7,5.1,3.8,2.6
Nevada,828,370,374,370,288,304,277,264,251,240,202,172,179,180,164,139,148,101,8,"4,859",22.7,10,9.9,10,7.7,8.2,7.2,6.9,6.6,6,5.1,4.4,4.7,4.7,4.3,3.7,3.8,2.6
New Hampshire,170,95,72,96,81,66,52,62,54,47,50,48,45,50,42,41,49,22,6,"1,148",13.6,7.5,5.6,7.5,6,5,3.8,4.5,3.9,3.3,3.4,3.2,2.9,3.2,2.7,2.5,3,1.3
New Jersey,840,400,405,414,402,390,404,414,405,371,361,324,310,272,291,288,235,157,15,"6,698",8.2,3.9,3.9,3.9,3.8,3.7,3.7,3.8,3.8,3.4,3.2,2.9,2.7,2.4,2.5,2.5,2,1.3
New Mexico,"1,224",561,512,457,465,524,523,502,546,523,438,440,367,354,313,320,261,191,56,"8,577",48.8,22.3,20,17.6,17.7,19.9,19.3,18.3,19.8,18.5,15.4,15.7,13.1,12.8,11.4,11.7,9.3,6.7
New York,"6,612","4,366","4,121","3,961","3,997","4,259","4,335","4,383","4,270","3,810","3,564","3,409","3,474","3,474","3,574","3,797","3,523","2,097",200,"71,226",28.2,18.7,17.5,17.2,17.3,18.5,18.6,19.4,19.4,16.9,15.7,15.1,15.3,15.1,15.5,16.4,14.8,8.6
North Carolina,818,467,462,421,436,435,414,423,438,428,415,353,361,370,394,336,297,105,19,"7,392",6.8,3.8,3.8,3.4,3.6,3.5,3.3,3.3,3.4,3.2,3.1,2.7,2.7,2.8,3,2.6,2.2,0.8
North Dakota,261,124,135,139,110,110,123,113,129,103,106,83,81,95,77,64,55,31,42,"1,981",23.8,11.3,12.3,13,10.6,10.8,12.5,11.5,13.2,10.5,10.8,8.7,8.7,10.5,8.8,7.5,6.4,3.6
Ohio,"3,514","1,526","1,487","1,542","1,546","1,427","1,418","1,394","1,330","1,282","1,246","1,078","1,109","1,090","1,140","1,126",919,650,73,"24,897",25.7,11,10.6,10.9,10.9,10.2,10.1,9.9,9.3,8.8,8.4,7.3,7.6,7.3,7.7,7.6,6,4.1
Oklahoma,"2,494","1,179","1,033",987,910,880,878,825,786,732,663,626,506,483,517,374,309,220,55,"14,457",48.1,22.5,19.6,18.6,17,16.5,16.3,15.4,14.7,13.4,12.1,11.7,9.5,9,9.8,7.1,5.9,4.1
Oregon,"1,395",780,754,730,692,638,659,644,605,583,537,496,503,472,444,438,364,294,42,"11,070",29.9,16.7,15.9,15.3,14.6,13.4,13.7,13.2,12.5,11.6,10.7,10,10.3,9.6,9.1,9.1,7.3,5.8
Pennsylvania,361,220,245,200,221,250,213,221,219,198,220,233,275,291,309,327,306,242,74,"4,625",2.6,1.6,1.7,1.4,1.5,1.7,1.5,1.5,1.5,1.3,1.5,1.6,1.8,1.9,2,2.2,1.9,1.5
Puerto Rico,376,296,279,295,340,361,367,361,331,303,281,272,283,309,248,335,318,176,198,"5,729",13.7,10.6,9.5,9.5,10.6,10.7,10.8,10,9,8.2,7.3,6.9,7,7.8,6.2,8.1,7.1,3.8
Rhode Island,511,249,207,195,214,188,174,158,174,184,142,124,95,114,98,119,89,51,9,"3,095",46.8,22.4,18.8,17.9,19.8,17.1,15.7,14.3,15.8,16.1,12.4,10.5,8,9.5,8,9.7,7.1,4
South Carolina,"2,195","1,254","1,182","1,069","1,063","1,010",983,"1,019",931,916,832,731,707,653,644,595,556,233,498,"17,071",38.1,21.4,19.8,18.1,18.1,16.9,16.3,16.6,14.9,14.3,12.8,11.6,11.4,10.5,10.5,9.7,8.8,3.6
South Dakota,211,114,96,98,98,77,79,62,76,69,77,49,52,55,34,35,27,17,13,"1,339",17.2,9.2,7.7,7.8,8,6.3,6.6,5.2,6.3,5.6,6.3,4.1,4.4,4.7,3,3.2,2.4,1.5
Tennessee,"1,552",520,499,466,518,463,409,417,434,399,386,384,439,425,396,439,410,318,109,"8,983",19.2,6.3,6.1,5.7,6.3,5.6,5,5.1,5.2,4.6,4.5,4.5,5.2,5,4.7,5.2,4.7,3.6
Texas,"10,871","5,288","4,855","4,381","4,167","3,936","3,429","3,294","3,105","2,867","2,598","2,229","2,186","2,022","1,899","1,807","1,519",786,267,"61,506",27,13,11.8,10.7,10.3,9.8,8.4,8.1,7.6,6.9,6.2,5.4,5.3,4.9,4.6,4.5,3.7,1.9
Utah,"1,138",540,550,519,530,528,525,572,518,520,517,459,451,537,573,543,504,406,17,"9,947",22.1,10.6,10.8,10.2,10.3,10.6,10.2,10.9,9.9,9.7,9.6,8.7,8.6,10.3,11.1,10.9,10.1,8.1
Vermont,39,59,38,53,52,42,51,47,51,48,43,32,38,50,67,93,47,26,2,878,6.7,10,6.3,8.5,8.6,6.8,8.2,7.5,8.1,7.3,6.4,4.8,5.7,7.2,9.6,13.7,6.6,3.5
Virginia,813,434,456,417,404,376,333,367,311,321,296,263,263,250,233,253,218,143,126,"6,277",8,4.2,4.4,4.1,4,3.7,3.2,3.6,3.1,3,2.8,2.5,2.5,2.4,2.2,2.4,2.1,1.3
Washington,437,331,357,340,287,263,279,238,269,221,212,185,179,210,188,152,137,98,3,"4,386",4.8,3.6,3.9,3.7,3.1,2.9,3,2.6,2.9,2.4,2.3,2,2,2.3,2.1,1.7,1.5,1.1
West Virginia,"1,118",430,421,409,409,373,414,407,345,323,289,275,269,228,216,218,196,131,25,"6,496",59,22.3,21.3,20.4,20,18.3,20.4,20.2,17,15.4,13.8,13.2,13,10.8,10.3,10.3,9.2,5.9
Wisconsin,541,339,356,323,364,294,293,270,300,247,252,212,215,195,195,213,177,99,17,"4,902",8.2,5.1,5.3,4.8,5.4,4.3,4.2,3.8,4.2,3.4,3.4,2.9,2.9,2.6,2.6,2.9,2.4,1.3
Wyoming,115,78,64,83,67,54,66,44,63,48,53,30,42,30,36,35,22,17,3,950,15.4,10.6,8.6,11.2,9,7.3,8.8,5.6,8,5.9,6.6,3.8,5.3,4,4.8,4.8,3.1,2.3
National,"100,457","46,843","44,503","41,981","40,336","39,572","38,116","37,644","36,333","34,342","31,955","28,943","28,190","27,892","27,559","26,912","23,785","15,699","2,768","673,830",25.3,11.7,11,10.4,10,9.8,9.3,9.2,8.9,8.2,7.6,6.9,6.7,6.6,6.6,6.5,5.6,3.6
